"Tool","degree_bin","frac_bin","count","total_nodes","count_norm"
"Panaroo",4,"75%–80%",2,8495,0.000235432607416127
"Panaroo",4,"80%–85%",2,8495,0.000235432607416127
"Panaroo",4,"85%–90%",4,8495,0.000470865214832254
"Panaroo",4,"90%–95%",19,8495,0.00223660977045321
"Panaroo",4,"95%–100%",120,8495,0.0141259564449676
"Panaroo",5,"0%–5%",41,8495,0.00482636845203061
"Panaroo",5,"5%–10%",29,8495,0.00341377280753384
"Panaroo",5,"10%–15%",23,8495,0.00270747498528546
"Panaroo",5,"15%–20%",10,8495,0.00117716303708064
"Panaroo",5,"20%–25%",6,8495,0.000706297822248381
"Panaroo",5,"25%–30%",11,8495,0.0012948793407887
"Panaroo",5,"30%–35%",11,8495,0.0012948793407887
"Panaroo",5,"35%–40%",3,8495,0.000353148911124191
"Panaroo",5,"40%–45%",3,8495,0.000353148911124191
"Panaroo",5,"45%–50%",4,8495,0.000470865214832254
"Panaroo",5,"50%–55%",1,8495,0.000117716303708064
"Panaroo",5,"55%–60%",10,8495,0.00117716303708064
"Panaroo",5,"60%–65%",2,8495,0.000235432607416127
"Panaroo",5,"65%–70%",3,8495,0.000353148911124191
"Panaroo",5,"70%–75%",4,8495,0.000470865214832254
"Panaroo",5,"75%–80%",3,8495,0.000353148911124191
"Panaroo",5,"80%–85%",2,8495,0.000235432607416127
"Panaroo",5,"85%–90%",4,8495,0.000470865214832254
"Panaroo",5,"90%–95%",12,8495,0.00141259564449676
"Panaroo",5,"95%–100%",54,8495,0.00635668040023543
"Panaroo",6,"0%–5%",24,8495,0.00282519128899353
"Panaroo",6,"5%–10%",7,8495,0.000824014125956445
"Panaroo",6,"10%–15%",8,8495,0.000941730429664509
"Panaroo",6,"15%–20%",10,8495,0.00117716303708064
"Panaroo",6,"20%–25%",8,8495,0.000941730429664509
"Panaroo",6,"25%–30%",9,8495,0.00105944673337257
"Panaroo",6,"30%–35%",10,8495,0.00117716303708064
"Panaroo",6,"35%–40%",5,8495,0.000588581518540318
"Panaroo",6,"40%–45%",5,8495,0.000588581518540318
"Panaroo",6,"45%–50%",1,8495,0.000117716303708064
"Panaroo",6,"55%–60%",7,8495,0.000824014125956445
"Panaroo",6,"60%–65%",4,8495,0.000470865214832254
"Panaroo",6,"65%–70%",2,8495,0.000235432607416127
"Panaroo",6,"70%–75%",3,8495,0.000353148911124191
"Panaroo",6,"75%–80%",2,8495,0.000235432607416127
"Panaroo",6,"80%–85%",2,8495,0.000235432607416127
"Panaroo",6,"85%–90%",4,8495,0.000470865214832254
